Probeset	Nod_10dpi_1	Nod_10dpi_2	Nod_10dpi_3
Mtr.10172.1.S1_at	197.971	133.24	144.662
Mtr.10173.1.S1_at	297.749	331.435	224.977
Mtr.10174.1.S1_at	6.66053	7.15671	7.49533
Mtr.10175.1.S1_at	1049.48	2013.47	2190.35
Mtr.10176.1.S1_at	198.896	287.999	232.362
Mtr.10177.1.S1_at	44.1539	31.5197	42.1065
Mtr.10178.1.S1_at	379.149	482.491	416.599
Mtr.10179.1.S1_at	13.5282	16.1305	15.7904
Mtr.1018.1.S1_at	8.19121	8.9022	8.75073
Mtr.1018.1.S1_s_at	456.114	432.758	445.136
Mtr.10180.1.S1_at	32.8126	34.6093	26.8992
Mtr.10181.1.S1_at	103.383	118.256	98.991
Mtr.10182.1.S1_at	10.8664	11.0199	8.56211
Mtr.10183.1.S1_s_at	62.8216	54.9095	55.5442
Mtr.10184.1.S1_at	35.6707	36.6604	41.8394
Mtr.10185.1.S1_at	45.2091	62.0445	35.3412
Mtr.10186.1.S1_at	11.3847	20.6668	24.0349
Mtr.10187.1.S1_at	124.123	63.1904	49.5611
Mtr.10188.1.S1_at	51.2403	39.3349	37.5926
Mtr.10188.1.S1_x_at	40.6077	39.7888	39.8807
Mtr.10189.1.S1_at	33.4201	48.7696	53.0568
Mtr.1019.1.S1_at	7.19767	6.37145	6.84304
Mtr.10190.1.S1_at	21.2218	23.1509	17.5096
Mtr.10191.1.S1_at	17.9052	11.5999	10.2587
Mtr.10192.1.S1_at	17.2892	18.2292	24.2801
Mtr.10193.1.S1_at	190.046	151.556	181.751
Mtr.10194.1.S1_at	103.3	78.5067	90.4698
Mtr.10195.1.S1_at	7.86114	9.539	10.2253
Mtr.10196.1.S1_at	34.4229	28.6843	41.3632
Mtr.10197.1.S1_at	249.149	243.451	266.782
Mtr.10198.1.S1_at	19.2032	13.8653	15.0873
Mtr.10199.1.S1_at	589.618	744.279	853.815
Mtr.10199.1.S1_s_at	584.674	676.198	706.367
Mtr.102.1.S1_x_at	40.0616	40.0561	25.9224
Mtr.1020.1.S1_at	60.9847	48.5705	48.0831
Mtr.10200.1.S1_at	1211.22	1307.76	1303.46
Mtr.10201.1.S1_at	49.0724	40.8019	56.9098
Mtr.10202.1.S1_at	205.015	192.032	149.871
Mtr.10203.1.S1_at	687.41	577.15	749.662
Mtr.10203.1.S1_s_at	613.83	639.459	766.76
Mtr.10204.1.S1_at	307.642	364.332	322.087
Mtr.10205.1.S1_at	194.96	157.309	171.671
Mtr.10206.1.S1_at	6.40328	6.334	6.81214
Mtr.10207.1.S1_at	25.7811	18.4559	27.1126
Mtr.10208.1.S1_at	8.4554	6.87958	7.44472
Mtr.10209.1.S1_at	467.577	372.182	339.102
Mtr.1021.1.S1_at	13.2352	11.4572	13.2234
Mtr.10210.1.S1_at	8.03005	9.31039	6.6544
Mtr.10211.1.S1_at	591.409	752.907	708.44
Mtr.10212.1.S1_at	317.956	317.498	304.632
Mtr.10213.1.S1_at	273.463	216.905	189.094
Mtr.10214.1.S1_at	7.40229	6.48992	7.5181
Mtr.10215.1.S1_at	23.8192	40.1651	46.096
Mtr.10216.1.S1_at	146.468	105.199	97.6715
Mtr.10217.1.S1_at	12.4186	10.6764	9.0802
Mtr.10218.1.S1_at	269.692	285.128	272.422
Mtr.10219.1.S1_at	220.182	242.462	249.98
Mtr.1022.1.S1_at	6.25745	6.09653	6.44447
Mtr.10220.1.S1_s_at	9.51857	8.50821	7.41501
Mtr.10221.1.S1_at	114.917	179.067	224.166
Mtr.10222.1.S1_at	109.315	94.7271	65.6678
Mtr.10223.1.S1_at	10.2768	7.9606	8.80649
Mtr.10224.1.S1_at	12.4327	12.6478	25.778
Mtr.10225.1.S1_at	75.9676	86.2808	69.0419
Mtr.10226.1.S1_at	424.398	360.179	410.42
Mtr.10227.1.S1_at	75.3348	58.7502	81.1744
Mtr.10228.1.S1_at	8.03135	9.44185	11.1467
Mtr.10229.1.S1_at	229.583	301.428	265.641
Mtr.1023.1.S1_at	8.11259	8.14249	7.49296
Mtr.10230.1.S1_at	140.166	113.3	120.255
Mtr.10231.1.S1_at	22.7592	21.0647	37.7771
Mtr.10232.1.S1_at	47.1389	43.8386	38.3811
Mtr.10233.1.S1_at	1576.19	1417.05	1271.77
Mtr.10234.1.S1_at	6.11112	7.56215	6.49423
Mtr.10234.1.S1_s_at	24.0752	18.7257	24.766
Mtr.10235.1.S1_at	13.1143	25.9434	12.4166
Mtr.10236.1.S1_at	11.4845	8.48873	10.538
Mtr.10237.1.S1_at	42.8952	36.9238	36.0921
Mtr.10238.1.S1_at	77.2174	114.79	104.049
Mtr.10239.1.S1_at	146.303	125.777	107.4
Mtr.10240.1.S1_at	276.241	380.041	462.531
Mtr.10241.1.S1_at	7.4039	8.43486	7.43553
Mtr.10242.1.S1_at	305.471	266.428	291.649
Mtr.10243.1.S1_at	35.5202	46.0974	58.988
Mtr.10244.1.S1_at	131.178	135.128	144.285
Mtr.10245.1.S1_at	332.786	334.041	356.922
Mtr.10246.1.S1_at	21.7749	24.9212	20.279
Mtr.10247.1.S1_at	300.75	270.2	287.71
Mtr.10248.1.S1_at	274.38	329.549	517.08
Mtr.10249.1.S1_at	5459.69	5221.92	5381.19
Mtr.1025.1.S1_at	6.82619	4.91472	6.94073
Mtr.10250.1.S1_at	8.2289	8.63027	9.09372
Mtr.10251.1.S1_at	294.709	370.955	329.1
Mtr.10252.1.S1_at	10.681	14.4303	9.00545
Mtr.10253.1.S1_at	129.03	292.452	152.108
Mtr.10254.1.S1_at	586.64	501.152	493.403
Mtr.10255.1.S1_at	304.803	288.026	182.924
Mtr.10256.1.S1_at	30.2051	33.5644	30.0171
Mtr.10257.1.S1_at	23.3108	17.3753	25.9749
Mtr.10258.1.S1_at	21.4184	34.5211	39.2388
Mtr.10259.1.S1_at	12.7095	8.42487	8.41292
Mtr.10261.1.S1_at	37.3996	36.14	43.1842
Mtr.10262.1.S1_at	23.9776	23.5336	22.7709
Mtr.10263.1.S1_at	915.494	902.844	756.871
Mtr.10264.1.S1_at	28.9643	25.7623	15.0017
Mtr.10265.1.S1_at	152.187	145.439	134.196
Mtr.10265.1.S1_s_at	623.651	504.913	530.494
Mtr.10266.1.S1_at	104.706	109.93	85.0627
Mtr.10267.1.S1_at	513.576	604.521	662.449
Mtr.10267.1.S1_a_at	1810.16	2095.81	2013.6
Mtr.10268.1.S1_at	207.302	235.458	252.169
Mtr.10269.1.S1_at	23.013	59.2174	46.8387
Mtr.1027.1.S1_at	19.0458	19.3131	32.524
Mtr.10270.1.S1_at	237.245	116.883	107.484
Mtr.10271.1.S1_at	16.9595	18.7217	19.9989
Mtr.10272.1.S1_at	33.289	93.7996	64.41
Mtr.10273.1.S1_at	134.29	122.159	129.204
Mtr.10274.1.S1_at	1829.49	1580.01	1848.26
Mtr.10275.1.S1_s_at	17.3338	11.2511	17.0571
Mtr.10276.1.S1_at	14.0182	8.65965	10.4966
Mtr.10277.1.S1_at	40.7376	22.0178	20.3443
Mtr.10278.1.S1_at	179.189	173.576	212.482
Mtr.10279.1.S1_at	5.88988	7.0303	6.41139
Mtr.10279.1.S1_s_at	137.334	132.365	125.464
Mtr.1028.1.S1_at	7.68964	7.53342	7.91862
Mtr.10280.1.S1_at	36.0291	39.2337	33.7513
Mtr.10282.1.S1_at	484.908	403.947	383.512
Mtr.10283.1.S1_at	393.563	355.3	299.066
Mtr.10284.1.S1_at	27.9507	33.2414	25.8442
Mtr.10285.1.S1_at	28.0803	55.8804	48.4692
Mtr.10286.1.S1_at	43.7417	49.9014	40.0457
Mtr.10287.1.S1_at	184.428	188.561	200.426
Mtr.10288.1.S1_at	15.8825	11.7422	9.22935
Mtr.10289.1.S1_at	10.4615	11.7045	10.3981
Mtr.1029.1.S1_at	10.1711	8.56019	8.68761
Mtr.10290.1.S1_at	116.594	72.9657	87.3029
Mtr.10291.1.S1_at	729.873	792.831	807.486
Mtr.10292.1.S1_at	163.283	159.366	167.733
Mtr.10293.1.S1_at	12.4309	11.8896	14.3885
Mtr.10294.1.S1_at	592.394	443.443	479.27
Mtr.10295.1.S1_at	53.5653	40.8398	29.7811
Mtr.10296.1.S1_at	139.96	140.953	130.747
Mtr.10297.1.S1_at	13147.8	13624.7	12962.2
Mtr.10298.1.S1_at	13.355	11.8998	9.05589
