Probeset	Nod_28dpi_1	Nod_28dpi_2	Nod_28dpi_3
Mtr.10248.1.S1_at	360.733	439.003	491.533
Mtr.10249.1.S1_at	7317.36	7232.17	7711.65
Mtr.1025.1.S1_at	5.05773	5.88006	5.88594
Mtr.10250.1.S1_at	9.32229	10.8368	8.83152
Mtr.10251.1.S1_at	359.506	390.786	362.017
Mtr.10252.1.S1_at	22.4502	19.501	19.3209
Mtr.10253.1.S1_at	138.01	130.384	228.119
Mtr.10254.1.S1_at	937.458	1025.64	906.996
Mtr.10255.1.S1_at	412.969	414.789	464.933
Mtr.10256.1.S1_at	39.4628	35.6172	69.4115
Mtr.10257.1.S1_at	32.8209	25.7729	21.7361
Mtr.10258.1.S1_at	34.1306	28.5304	26.4642
Mtr.10259.1.S1_at	7.47198	7.58753	6.7666
Mtr.10261.1.S1_at	33.777	34.7125	33.0981
Mtr.10262.1.S1_at	20.68	34.654	17.9771
Mtr.10263.1.S1_at	952.497	975.844	1012.55
Mtr.10264.1.S1_at	17.565	19.8123	28.0724
Mtr.10265.1.S1_at	138.936	150.876	122.864
Mtr.10265.1.S1_s_at	489.729	531.424	492.079
Mtr.10266.1.S1_at	119.092	150.111	104.133
Mtr.10267.1.S1_at	544.391	452.003	441.492
Mtr.10267.1.S1_a_at	2006.03	2184.7	1884.18
Mtr.10268.1.S1_at	169.23	157.48	157.146
Mtr.10269.1.S1_at	77.4715	113.919	72.5016
Mtr.1027.1.S1_at	29.3026	31.409	31.1537
Mtr.10270.1.S1_at	275.087	388.871	346.232
Mtr.10271.1.S1_at	18.4858	17.001	17.8596
Mtr.10272.1.S1_at	42.9495	52.1199	79.8094
Mtr.10273.1.S1_at	135.516	138.208	163.994
Mtr.10274.1.S1_at	773.65	797.929	717.347
Mtr.10275.1.S1_s_at	13.6339	11.9204	10.4394
Mtr.10276.1.S1_at	21.4182	20.4409	19.0046
Mtr.10277.1.S1_at	68.2514	95.3622	89.1111
Mtr.10278.1.S1_at	131.065	180.951	121.089
Mtr.10279.1.S1_at	6.78794	9.04405	6.5599
Mtr.10279.1.S1_s_at	256.371	345.656	257.121
Mtr.1028.1.S1_at	6.56999	8.46347	6.64038
Mtr.10280.1.S1_at	30.3337	27.9091	21.2734
Mtr.10282.1.S1_at	439.521	418.96	401.729
Mtr.10283.1.S1_at	435.702	488.551	457.504
Mtr.10284.1.S1_at	36.0556	41.743	34.9055
Mtr.10285.1.S1_at	33.5925	30.6584	15.6964
Mtr.10286.1.S1_at	36.0002	34.7279	40.0357
Mtr.10287.1.S1_at	154.143	109.637	97.6973
Mtr.10288.1.S1_at	13.1992	12.4644	14.6904
Mtr.10289.1.S1_at	22.1957	31.3628	21.5542
Mtr.1029.1.S1_at	8.94212	9.87073	8.07736
Mtr.10290.1.S1_at	128.886	115.188	86.7139
Mtr.10291.1.S1_at	760.217	784.238	724.482
Mtr.10292.1.S1_at	51.4157	71.2445	58.3586
Mtr.10293.1.S1_at	28.7923	25.542	19.3762
