Probeset	ART_00meristem_1	ART_00meristem_2	ART_00meristem_3
Mtr.10280.1.S1_at	32.1097	57.8567	50.828
Mtr.10282.1.S1_at	279.004	288.099	306.479
Mtr.10283.1.S1_at	26.6031	29.3053	28.852
Mtr.10284.1.S1_at	63.2997	73.6103	66.2189
Mtr.10285.1.S1_at	12.8849	16.7421	17.2177
Mtr.10286.1.S1_at	18.1383	27.7079	31.0949
Mtr.10287.1.S1_at	109.962	118.956	102.873
Mtr.10288.1.S1_at	10.7969	12.7919	13.0583
Mtr.10289.1.S1_at	11.9639	12.1976	10.3837
Mtr.1029.1.S1_at	14.2271	12.2997	8.41242
Mtr.10290.1.S1_at	24.1376	37.3931	22.0039
Mtr.10291.1.S1_at	607.137	682.272	672.661
Mtr.10292.1.S1_at	154.375	176.111	166.264
Mtr.10293.1.S1_at	13.4902	8.6041	8.6638
Mtr.10294.1.S1_at	226.371	178.252	203.902
Mtr.10295.1.S1_at	30.5038	39.8006	32.4235
Mtr.10296.1.S1_at	249.55	225.821	241.374
Mtr.10297.1.S1_at	18744.4	18523.6	18523.6
Mtr.10298.1.S1_at	9.61171	13.0488	13.3551
Mtr.10299.1.S1_at	5522.21	5387.3	5523.87
Mtr.103.1.S1_at	8.43833	11.3888	9.51302
Mtr.10300.1.S1_at	6217.24	6469.14	6671.49
Mtr.10301.1.S1_s_at	60.3043	37.4563	47.752
Mtr.10302.1.S1_x_at	51.4793	59.92	60.0955
Mtr.10303.1.S1_at	3554.25	3065.74	3213.56
Mtr.10304.1.S1_at	4730.63	4517.78	4294.21
Mtr.10305.1.S1_at	5201.03	5884.91	5766.74
Mtr.10306.1.S1_at	5648.96	5601.96	5318.04
Mtr.10307.1.S1_at	807.878	840.704	723.686
Mtr.10308.1.S1_at	3209.49	3642.28	4283.02
Mtr.10309.1.S1_at	1017.97	1434.73	1800.05
Mtr.1031.1.S1_at	16.3885	14.931	11.3503
Mtr.10310.1.S1_at	88.7217	105.501	94.56
Mtr.10311.1.S1_at	1440.53	2074.75	2383.68
Mtr.10312.1.S1_at	232.695	267.328	316.423
Mtr.10313.1.S1_at	2564.71	2600.67	2520.1
Mtr.10314.1.S1_at	1000.55	941.249	916.805
Mtr.10315.1.S1_at	2275.27	1874.01	1761.34
Mtr.10316.1.S1_at	8494.77	8486.81	7277.41
Mtr.10317.1.S1_at	4592	4879.63	5396.22
Mtr.10318.1.S1_at	3221.46	3030.5	3086.52
Mtr.10319.1.S1_at	573.907	1475	1387.2
Mtr.1032.1.S1_at	9.74209	9.5253	8.21016
Mtr.10320.1.S1_at	2048.88	1903.49	1804.23
Mtr.10321.1.S1_at	5388.43	5178.33	4995.43
Mtr.10322.1.S1_at	2750.01	2997.42	2860.61
Mtr.10323.1.S1_at	2163.92	2210.48	2186.38
Mtr.10324.1.S1_at	5011.8	4652.26	4761.17
Mtr.10325.1.S1_at	100.494	104.2	101.663
Mtr.10326.1.S1_at	2299.66	2651.59	2256.37
Mtr.10327.1.S1_at	370.957	395.558	421.425
Mtr.10329.1.S1_at	7.34224	7.72237	7.62314
Mtr.1033.1.S1_at	889.178	915.781	1023.26
Mtr.1033.1.S1_s_at	812.199	752.864	861.802
Mtr.10330.1.S1_at	34.0323	31.9133	24.4718
Mtr.10330.1.S1_s_at	92.6592	86.2863	87.5054
Mtr.10330.1.S1_x_at	62.5607	58.859	47.5142
Mtr.10331.1.S1_at	77.0326	128.295	139.877
Mtr.10332.1.S1_at	98.4757	161.585	208.788
Mtr.10337.1.S1_at	858.622	813.06	854.339
Mtr.10338.1.S1_at	8.72464	6.70365	8.59474
Mtr.10338.1.S1_s_at	832.779	918.675	734.415
Mtr.10339.1.S1_at	90.3364	103.565	69.95
Mtr.1034.1.S1_at	1044.56	1118.1	1022.89
Mtr.10340.1.S1_at	1791.61	1867.02	1925.15
Mtr.10341.1.S1_at	338.432	339.496	319.559
Mtr.10342.1.S1_at	2913.57	2835.83	2346.73
Mtr.10343.1.S1_at	10.1178	10.7707	9.43386
