Probeset	ART_03dpi_control_1	ART_03dpi_control_2	ART_03dpi_control_3
Mtr.10188.1.S1_at	47.993	31.4826	35.9999
Mtr.10188.1.S1_x_at	51.2953	39.6421	41.0564
Mtr.10189.1.S1_at	230.206	135.075	341.698
Mtr.1019.1.S1_at	6.09858	6.68599	7.88825
Mtr.10190.1.S1_at	17.5934	13.3451	15.6962
Mtr.10191.1.S1_at	11.8527	8.48479	11.4918
Mtr.10192.1.S1_at	34.8955	32.8548	30.4112
Mtr.10193.1.S1_at	274.265	262.062	240.297
Mtr.10194.1.S1_at	98.8866	87.5335	100.467
Mtr.10195.1.S1_at	7.42092	6.95987	7.59901
Mtr.10196.1.S1_at	74.1922	68.9908	61.4542
Mtr.10197.1.S1_at	181.898	155.534	160.142
Mtr.10198.1.S1_at	14.6323	10.6963	10.1752
Mtr.10199.1.S1_at	908.227	1045.19	1057.43
Mtr.10199.1.S1_s_at	765.981	789.014	849.103
Mtr.102.1.S1_x_at	37.9923	45.3115	38.8004
Mtr.1020.1.S1_at	80.1844	79.6381	68.7771
Mtr.10200.1.S1_at	564.068	583.899	549.647
Mtr.10201.1.S1_at	58.5004	53.872	45.2298
Mtr.10202.1.S1_at	25.4783	39.0158	28.3042
Mtr.10203.1.S1_at	678.754	755.63	726.08
Mtr.10203.1.S1_s_at	522.507	511.869	509.03
Mtr.10204.1.S1_at	317.703	289.224	276.578
Mtr.10205.1.S1_at	42.5202	37.8233	25.9368
Mtr.10206.1.S1_at	6.53386	6.9899	6.8335
Mtr.10207.1.S1_at	44.1649	35.0073	41.2344
Mtr.10208.1.S1_at	6.67169	7.17339	6.03865
Mtr.10209.1.S1_at	155.687	145.582	142.729
Mtr.1021.1.S1_at	11.8813	9.97976	10.0999
Mtr.10210.1.S1_at	6.86553	7.7034	9.18161
Mtr.10211.1.S1_at	1053.18	888.203	808.272
Mtr.10212.1.S1_at	730.51	704.139	705.059
Mtr.10213.1.S1_at	89.081	61.9246	57.63
Mtr.10214.1.S1_at	6.88022	7.71058	9.57607
Mtr.10215.1.S1_at	145.417	146.235	124.854
Mtr.10216.1.S1_at	160.206	144.146	138.924
Mtr.10217.1.S1_at	11.3966	13.4795	11.5748
Mtr.10218.1.S1_at	281.77	256.553	264.085
Mtr.10219.1.S1_at	67.3047	74.8683	79.2748
Mtr.1022.1.S1_at	6.89383	5.65686	6.18255
